Unnamed: 0,Unnamed: 1,Date,2025-10-31 00:00:00,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
S0205,Crested 10,70cl,19.7,33.18,,0.6,19.908,,,,,
S0220,Dark Rum,70cl,19.7,17.13,3,0.9,66.807,,,,,
S3145,Dingle Gin 70cl,70cl,19.7,24.42,26,0.7,652.014,,,,,
S2369,Dingle Single Malt,70cl,19.7,37.5,4,,150,,,,,
S2034,Dingle Vodka 70cl,70cl,19.7,20.5,9,0.7,198.85,,,,,
S1587,Disaronno Amaretto,70cl,19.7,19.58,,,0,,,,,
S0230,Drambuie,70cl,19.7,31.5,,0.1,3.15,,,,,
S0026,El Jimador Blanco,70cl,19.7,26.66,3,0.65,97.309,,,,,
S0245,Famous Grouse 70Cl,70cl,19.7,20.32,3,0.3,67.056,,,,,
S0265,Galliano,50cl,14.1,24.53,,,0,,,,,
S0014,Ghost Spicy Tequila,70cl,19.7,31.09,2,0.1,65.289,,,,,
S0271,Glenfiddich 12 YO,70cl,19.7,38.38,1,0.85,71.003,,,,,
S0327,Glenmorangie,70cl,19.7,38.33,1,0.2,45.996,,,,,
S002,Gordans Pink Litre,1 Lt,28.2,25.83,5,0.9,152.397,,,,,
S0019,Gordons 0.0% 700ML,70cl,19.7,14.64,,,0,,,,,
S0306,Gordons Gin LTR,1 Lt,28.2,24.88,7,0.15,177.892,,,,,
S0310,Grand Marnier 70Cl,70cl,19.7,31.78,3,0.95,125.531,,,,,
S1412,Green Spot,70cl,19.7,44.69,10,0.3,460.307,,,,,
S1258,Grey Goose,70cl,19.7,36.17,,0.85,30.7445,,,,,
S0325,Harveys Bristol Cream,75cl,10.6,10.66,3,0.2,34.112,,,,,
S0029,Havana 3YR,70cl,19.7,18.5,1,0.9,35.15,,,,,
S2156,Havana Anejo,70cl,19.7,21.35,2,0.3,49.105,,,,,
S2354,Havana Club 7 YO,70cl,19.7,31.99,1,,31.99,,,,,
S1302,Hendricks Gin,70cl,19.7,32.67,2,0.3,75.141,,,,,
S0335,Hennessy 1Ltr,1 Lt,28.2,44.06,3,0.5,154.21,,,,,
S0365,Irish Mist 70Cl,70cl,19.7,22.67,2,0.4,54.408,,,,,
S0380,Jack Daniels,70cl,19.7,24.18,4,0.4,106.392,,,,,
S0385,Jagermeister 70Cl,70cl,19.7,16.92,3,0.5,59.22,,,,,
S2186,Jamesom Caskmate Stout,70cl,19.7,31.38,2,0.2,69.036,,,,,
S0405,Jameson 1Ltr,1 Lt,28.2,29.23,8,0.15,238.2245,,,,,
S0255,Jameson Black Barrel,70cl,19.7,42.01,1,0.95,81.9195,,,,,
S2189,Jameson Caskmate IPA,70cl,19.7,31.38,1,0.7,53.346,,,,,
S0370,Johnnie Walker Black,70cl,19.7,32.65,2,0.75,89.7875,,,,,
S1002,Johnny Walker Red,70cl,19.7,21.05,3,0.5,73.675,,,,,
S0420,Kahlua,70cl,19.7,13.58,5,0.95,80.801,,,,,
S1299,Kettle One,70cl,19.7,22,1,0.95,42.9,,,,,
S0021,Killarney Whiskey,70cl,19.7,30.5,2,0.3,70.15,,,,,
S9987,Krackan,70cl,19.7,22.83,7,0.35,167.8005,,,,,
S1101,Laphroaig 10 Year Old,70cl,19.7,48,2,0.15,103.2,,,,,
S1205,Luxardo Limoncello,70cl,19.7,18.95,,,0,,,,,
S0455,Malibu,70cl,19.7,13.17,1,0.9,25.023,,,,,
S2155,Martel VS,70cl,19.7,31.69,2,,63.38,,,,,
S0699,Martini Dry,75cl,10.6,9.72,5,0.6,54.432,,,,,
S0485,Martini Rosso 75Cl,75cl,10.6,9.72,2,0.7,26.244,,,,,
S2365,Matusalem Solera 7YO,70cl,19.7,26.5,1,0.35,35.775,,,,,
S2349,Method & Madness Gin,70cl,19.7,32.92,,0.6,19.752,,,,,
S1047,Midori Green,70cl,19.7,25.8,1,0.05,27.09,,,,,
S0064,Muckross Wild Gin,70cl,19.7,28.33,2,0.2,62.326,,,,,
S0530,Paddy,1 Lt,28.2,23.67,4,0.7,111.249,,,,,
S0041,Passoa Passionfruit Liqueur,70cl,19.7,15,4,,60,,,,,
S24,Patron Tequila Silver,70cl,19.7,49.97,1,0.5,74.955,,,,,
S0543,Peach Schnapps 70cl,70cl,19.7,12.71,10,0.55,134.0905,,,,,
S0545,Pernod 70Cl,70cl,19.7,20.55,1,,20.55,,,,,
S0550,Pimms No.1,70cl,19.7,17.5,,0.05,0.875,,,,,
S0555,Powers 1ltr,1 Lt,28.2,32.64,3,0.25,106.08,,,,,
S2359,Powers 3 Swallows,70cl,19.7,39.72,2,0.1,83.412,,,,,
S2241,Powers John Lane,70cl,19.7,57.33,1,0.75,100.3275,,,,,
S0575,Redbreast 12Yr,70cl,19.7,46.67,,0.6,28.002,,,,,
S1210,Redbreast 15 Years Old,70cl,19.7,88.26,3,0.05,269.193,,,,,
S0585,Remy Martin Vsop,70cl,19.7,43.06,2,0.2,94.732,,,,,
S0022,Ring Of Kerry Gin,70cl,19.7,30,4,0.9,147,,,,,
S2302,Roe & Coe,70cl,19.7,31.67,1,0.6,50.672,,,,,
S0605,Sandeman Port,75cl,10.6,14.29,2,0.2,31.438,,,,,
S0018,Sarti Rosa Spritz,70cl,9.9,16.48,2,0.15,35.432,,,,,
S2217,Silver Spear Gin,70cl,19.7,33.34,,0.9,30.006,,,,,
S0001,Skellig Six18Pot Still,70cl,19.7,33.83,2,0.7,91.341,,,,,
S0610,Smirnoff 1Ltr,1 Lt,28.2,21.83,45,0.8,999.814,,,,,
